,R03_sales,R06_sales,N02BE_sales,resp_index,flu_index,flu_lag_2,R03_log,R03_log_diff
2016-03-28,74.0,44.4,270.45,118.4,7535.0,10420.0,4.31748811353631,0.34719619998418816
2016-04-04,60.0,40.6,200.65,100.6,5968.333333333333,9510.333333333334,4.110873864173311,-0.20661424936299877
2016-04-11,50.0,39.9,255.225,89.9,4778.0,7535.0,3.9318256327243257,-0.17904823144898563
2016-04-18,40.0,26.8,177.15,66.8,3855.6666666666665,5968.333333333333,3.713572066704308,-0.21825356602001778
2016-04-25,25.0,26.2,209.112,51.2,3155.6666666666665,4778.0,3.258096538021482,-0.4554755286828258
2016-05-02,9.0,32.0,257.5,41.0,2428.3333333333335,3855.6666666666665,2.302585092994046,-0.9555114450274362
2016-05-09,35.0,20.5,220.9,55.5,1742.0,3155.6666666666665,3.58351893845611,1.280933845462064
2016-05-16,46.0,34.2,240.0,80.2,1258.0,2428.3333333333335,3.8501476017100584,0.2666286632539485
2016-05-23,21.0,40.4,228.35,61.4,955.0,1742.0,3.091042453358316,-0.7591051483517424
2016-05-30,35.0,31.0,154.05,66.0,681.6666666666666,1258.0,3.58351893845611,0.49247648509779385
2016-06-06,36.0,38.2,228.962,74.2,475.6666666666667,955.0,3.6109179126442243,0.027398974188114433
2016-06-13,42.0,37.0,185.4,79.0,311.3333333333333,681.6666666666666,3.7612001156935624,0.15028220304933804
2016-06-20,22.0,25.6,163.038,47.6,239.66666666666666,475.6666666666667,3.1354942159291497,-0.6257058997644127
2016-06-27,45.0,28.0,147.0,73.0,168.0,311.3333333333333,3.828641396489095,0.6931471805599454
2016-07-04,15.0,24.3,152.0,39.3,132.33333333333334,239.66666666666666,2.772588722239781,-1.056052674249314
2016-07-11,21.0,32.53,150.262,53.53,102.33333333333333,168.0,3.091042453358316,0.3184537311185349
2016-07-18,10.0,22.0,147.6,32.0,90.66666666666667,132.33333333333334,2.3978952727983707,-0.6931471805599454
2016-07-25,30.0,23.0,134.5,53.0,92.66666666666667,102.33333333333333,3.4339872044851463,1.0360919316867756
2016-08-01,62.0,20.3,162.6,82.3,96.66666666666667,90.66666666666667,4.143134726391533,0.7091475219063863
2016-08-08,13.0,19.0,170.9166667,32.0,102.33333333333333,92.66666666666667,2.639057329615259,-1.5040773967762737
2016-08-15,17.0,22.5,162.75,39.5,99.0,96.66666666666667,2.8903717578961645,0.25131442828090567
2016-08-22,21.0,17.2,143.8166667,38.2,107.33333333333333,102.33333333333333,3.091042453358316,0.20067069546215155
2016-08-29,16.0,20.3,172.8,36.3,130.0,99.0,2.833213344056216,-0.2578291093020999
2016-09-05,26.0,20.0,255.024,46.0,157.33333333333334,107.33333333333333,3.295836866004329,0.46262352194811296
2016-09-12,37.0,12.1,225.15,49.1,186.0,130.0,3.6375861597263857,0.34174929372205654
2016-09-19,29.0,11.0,264.225,40.0,217.0,157.33333333333334,3.4011973816621555,-0.2363887780642302
2016-09-26,38.0,17.2,382.338,55.2,254.66666666666666,186.0,3.6635616461296463,0.26236426446749084
2016-10-03,46.0,13.5,418.187,59.5,287.6666666666667,217.0,3.8501476017100584,0.18658595558041213
2016-10-10,59.0,13.3,347.35,72.3,299.6666666666667,254.66666666666666,4.0943445622221,0.24419696051204198
2016-10-17,47.0,15.1,293.8166667,62.1,331.3333333333333,287.6666666666667,3.8712010109078907,-0.2231435513142097
2016-10-24,29.0,9.0,346.0,38.0,355.0,299.6666666666667,3.4011973816621555,-0.47000362924573524
2016-10-31,42.0,23.2,256.55,65.2,414.0,331.3333333333333,3.7612001156935624,0.3600027340314069
2016-11-07,36.0,10.6,260.8,46.6,476.0,355.0,3.6109179126442243,-0.15028220304933804
2016-11-14,22.0,10.4,252.812,32.4,584.3333333333334,414.0,3.1354942159291497,-0.4754236967150747
2016-11-21,48.0,12.0,243.124,60.0,699.0,476.0,3.8918202981106265,0.7563260821814768
2016-11-28,55.0,4.2,302.162,59.2,876.3333333333334,584.3333333333334,4.02535169073515,0.13353139262452318
2016-12-05,71.0,11.0,275.424,82.0,1106.3333333333333,699.0,4.276666119016055,0.25131442828090567
2016-12-12,88.0,9.2,303.525,97.2,1635.3333333333333,876.3333333333334,4.48863636973214,0.21197025071608433
2016-12-19,31.0,6.5,315.2,37.5,2617.0,1106.3333333333333,3.4657359027997265,-1.022900466932413
2016-12-26,55.25,4.625,546.899,59.875,4318.333333333333,1635.3333333333333,4.029806041084529,0.5640701382848028
2017-01-02,47.65625,14.58333333,343.35,62.23958333,5827.0,2617.0,3.884780269034272,-0.14502577205025746
2017-01-09,31.66666667,12.16666667,368.4791667,43.83333334,7096.333333333333,4318.333333333333,3.486355190104503,-0.39842507892976897
2017-01-16,45.41666667,15.83333333,320.5833333,61.25,8011.0,5827.0,3.837658590211097,0.3513034001065942
2017-01-23,55.41666667,12.70833333,298.505,68.125,8960.666666666666,7096.333333333333,4.0327646231833585,0.19510603297226137
2017-01-30,44.33333333,14.43333333,265.8933333,58.76666666,10304.333333333334,8011.0,3.8140425969944127,-0.21872202618894576
2017-02-06,27.0,9.0,146.2,36.0,12245.666666666666,8960.666666666666,3.332204510175204,-0.4818380868192089
2017-02-13,18.0,10.3,128.05,28.3,14103.666666666666,10304.333333333334,2.9444389791664403,-0.38776553100876354
2017-02-20,36.0,8.2,170.7,44.2,15071.0,12245.666666666666,3.6109179126442243,0.6664789334777841
2017-02-27,48.0,19.5,134.7,67.5,13433.666666666666,14103.666666666666,3.8918202981106265,0.2809023854664021
2017-03-06,20.0,17.0,171.1,37.0,11439.0,15071.0,3.044522437723423,-0.8472978603872034
2017-03-13,25.0,11.0,146.1,36.0,9384.333333333334,13433.666666666666,3.258096538021482,0.21357410029805912
2017-03-20,31.0,32.1,122.0,63.1,8881.666666666666,11439.0,3.4657359027997265,0.2076393647782444
2017-03-27,20.0,37.9,138.4,57.9,8299.333333333334,9384.333333333334,3.044522437723423,-0.42121346507630353
2017-04-03,47.0,22.5,119.1,69.5,7267.666666666667,8881.666666666666,3.8712010109078907,0.8266785731844677
2017-04-10,58.0,23.2,126.65,81.2,5697.0,8299.333333333334,4.07753744390572,0.206336432997829
2017-04-17,17.875,16.0,130.7,33.875,4050.0,7267.666666666667,2.9378382951350885,-1.1396991487706312
2017-04-24,48.0,45.3,106.75,93.3,2773.6666666666665,5697.0,3.8918202981106265,0.9539820029755379
2017-05-01,44.0,25.1,92.85,69.1,1877.3333333333333,4050.0,3.8066624897703196,-0.08515780834030684
2017-05-08,24.0,40.7,109.9,64.7,1352.3333333333333,2773.6666666666665,3.2188758248682006,-0.5877866649021191
2017-05-15,27.0,39.0,150.6,66.0,1102.0,1877.3333333333333,3.332204510175204,0.11332868530700324
2017-05-22,23.0,42.01,129.39,65.00999999999999,929.0,1352.3333333333333,3.1780538303479458,-0.15415067982725805
